H  SOFTWARE NAME & VERSION
I  PCX5 2.08 by AFTrack91 1.1
H  R DATUM                IDX DA            DF            DX            DY            DZ
M  G WGS 84               121 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00

H  R DATUM        
U  LAT LON DEG

H  TRACK SUMMARY
H  Track            Pnts Date     Time     Duration
H  TN Paraiso        295 02-04-07 09:29:10 02:07:24  Puerto n. Paraiso


H  LATITUDE    LONGITUDE    DATE      TIME     ALT    
T  +28.4156233 -016.5157983 02-APR-07 11:46:07 122
T  +28.4156216 -016.5158016 02-APR-07 11:47:24 123
T  +28.4157316 -016.5157750 02-APR-07 11:49:31 124
T  +28.4157499 -016.5156033 02-APR-07 11:49:51 124
T  +28.4157266 -016.5155616 02-APR-07 11:50:04 124
T  +28.4156883 -016.5155500 02-APR-07 11:50:33 123
T  +28.4156516 -016.5155333 02-APR-07 11:51:15 123
T  +28.4156533 -016.5154400 02-APR-07 11:51:28 123
T  +28.4157449 -016.5142549 02-APR-07 11:52:56 117
T  +28.4155799 -016.5140833 02-APR-07 11:53:16 117
T  +28.4153899 -016.5129300 02-APR-07 11:54:46 126
T  +28.4155499 -016.5126766 02-APR-07 11:55:15 126
T  +28.4158433 -016.5121416 02-APR-07 11:56:22 129
T  +28.4175683 -016.5106283 02-APR-07 11:59:15 117
T  +28.4189299 -016.5096916 02-APR-07 12:01:18 119
T  +28.4192633 -016.5092083 02-APR-07 12:02:15 121
T  +28.4192766 -016.5091966 02-APR-07 12:02:36 119
T  +28.4192783 -016.5091833 02-APR-07 12:03:57 114
T  +28.4192600 -016.5091299 02-APR-07 12:05:18 120
T  +28.4192050 -016.5090499 02-APR-07 12:05:33 122
T  +28.4190183 -016.5088450 02-APR-07 12:06:12 130
T  +28.4189166 -016.5087516 02-APR-07 12:09:09 130
T  +28.4188233 -016.5086000 02-APR-07 12:09:44 140
T  +28.4187500 -016.5084466 02-APR-07 12:10:26 145
T  +28.4187250 -016.5084283 02-APR-07 12:10:34 146
T  +28.4187333 -016.5083916 02-APR-07 12:10:41 147
T  +28.4187416 -016.5083266 02-APR-07 12:11:01 150
T  +28.4187100 -016.5083249 02-APR-07 12:11:15 151
T  +28.4186933 -016.5083550 02-APR-07 12:11:24 152
T  +28.4186733 -016.5083666 02-APR-07 12:11:34 153
T  +28.4186550 -016.5083716 02-APR-07 12:11:44 153
T  +28.4186383 -016.5083416 02-APR-07 12:11:52 154
T  +28.4185800 -016.5083200 02-APR-07 12:12:05 155
T  +28.4185866 -016.5083566 02-APR-07 12:12:12 155
T  +28.4185716 -016.5083449 02-APR-07 12:13:01 158
T  +28.4182666 -016.5084566 02-APR-07 12:13:50 161
T  +28.4182233 -016.5084733 02-APR-07 12:13:57 163
T  +28.4181416 -016.5084916 02-APR-07 12:14:11 164
T  +28.4181266 -016.5084916 02-APR-07 12:14:22 165
T  +28.4180716 -016.5085100 02-APR-07 12:14:32 167
T  +28.4180666 -016.5084249 02-APR-07 12:14:52 171
T  +28.4179883 -016.5084666 02-APR-07 12:15:09 174
T  +28.4179950 -016.5084633 02-APR-07 12:15:38 179
T  +28.4181500 -016.5081833 02-APR-07 12:16:17 186
T  +28.4181133 -016.5081983 02-APR-07 12:16:24 186
T  +28.4181116 -016.5081966 02-APR-07 12:16:30 186
T  +28.4181016 -016.5082033 02-APR-07 12:16:42 185
T  +28.4181183 -016.5081583 02-APR-07 12:16:49 186
T  +28.4181183 -016.5081216 02-APR-07 12:16:56 187
T  +28.4181050 -016.5081066 02-APR-07 12:17:03 188
T  +28.4181166 -016.5080649 02-APR-07 12:17:14 189
T  +28.4180633 -016.5080533 02-APR-07 12:17:29 191
T  +28.4180550 -016.5080466 02-APR-07 12:17:36 192
T  +28.4181533 -016.5078700 02-APR-07 12:19:20 198
T  +28.4182000 -016.5077849 02-APR-07 12:19:36 201
T  +28.4181883 -016.5077883 02-APR-07 12:19:46 201
T  +28.4181866 -016.5077150 02-APR-07 12:20:11 203
T  +28.4181166 -016.5077549 02-APR-07 12:20:22 206
T  +28.4181050 -016.5077399 02-APR-07 12:20:29 207
T  +28.4181083 -016.5077383 02-APR-07 12:20:36 208
T  +28.4181200 -016.5077016 02-APR-07 12:20:44 209
T  +28.4180883 -016.5076966 02-APR-07 12:21:03 210
T  +28.4180600 -016.5076849 02-APR-07 12:21:15 211
T  +28.4180683 -016.5076299 02-APR-07 12:21:25 212
T  +28.4180233 -016.5076000 02-APR-07 12:21:41 215
T  +28.4180466 -016.5075216 02-APR-07 12:21:57 218
T  +28.4180266 -016.5075283 02-APR-07 12:22:04 220
T  +28.4179899 -016.5075250 02-APR-07 12:23:24 222
T  +28.4179650 -016.5075150 02-APR-07 12:23:35 223
T  +28.4179850 -016.5074800 02-APR-07 12:24:18 228
T  +28.4179883 -016.5074566 02-APR-07 12:24:33 229
T  +28.4180250 -016.5072583 02-APR-07 12:25:12 234
T  +28.4179933 -016.5072800 02-APR-07 12:25:24 236
T  +28.4179716 -016.5072699 02-APR-07 12:25:54 236
T  +28.4179700 -016.5072416 02-APR-07 12:26:00 237
T  +28.4179899 -016.5070983 02-APR-07 12:26:30 242
T  +28.4178933 -016.5071350 02-APR-07 12:26:52 247
T  +28.4178633 -016.5071433 02-APR-07 12:27:00 248
T  +28.4178266 -016.5071100 02-APR-07 12:27:38 251
T  +28.4178483 -016.5070266 02-APR-07 12:27:52 254
T  +28.4178050 -016.5070583 02-APR-07 12:27:59 256
T  +28.4176683 -016.5071450 02-APR-07 12:28:26 263
T  +28.4176600 -016.5071466 02-APR-07 12:28:33 265
T  +28.4176250 -016.5070483 02-APR-07 12:28:56 272
T  +28.4175950 -016.5069400 02-APR-07 12:29:18 279
T  +28.4176283 -016.5068950 02-APR-07 12:29:28 277
T  +28.4176616 -016.5068283 02-APR-07 12:29:35 275
T  +28.4181816 -016.5062749 02-APR-07 12:30:37 270
T  +28.4185533 -016.5059733 02-APR-07 12:31:16 271
T  +28.4187033 -016.5058716 02-APR-07 12:31:33 275
T  +28.4188333 -016.5058366 02-APR-07 12:31:50 279
T  +28.4188333 -016.5058333 02-APR-07 12:31:56 279
T  +28.4188483 -016.5058450 02-APR-07 12:32:06 278
T  +28.4188466 -016.5058250 02-APR-07 12:32:13 279
T  +28.4189266 -016.5057333 02-APR-07 12:32:35 281
T  +28.4189199 -016.5057466 02-APR-07 12:32:45 283
T  +28.4189250 -016.5057466 02-APR-07 12:32:51 284
T  +28.4189516 -016.5057583 02-APR-07 12:41:32 281
T  +28.4189516 -016.5057566 02-APR-07 12:41:38 281
T  +28.4185483 -016.5050016 02-APR-07 12:43:19 300
T  +28.4190516 -016.5044900 02-APR-07 12:44:30 311
T  +28.4190583 -016.5044949 02-APR-07 12:44:39 311
T  +28.4191099 -016.5044466 02-APR-07 12:44:46 311
T  +28.4197483 -016.5038300 02-APR-07 12:45:58 314
T  +28.4192750 -016.5032050 02-APR-07 12:46:57 315
T  +28.4182033 -016.5034183 02-APR-07 12:48:37 333
T  +28.4180600 -016.5032733 02-APR-07 12:48:55 335




T  +28.4179933 -016.5033166 02-APR-07 12:49:59 346
T  +28.4179916 -016.5033633 02-APR-07 12:50:19 347
T  +28.4179833 -016.5033299 02-APR-07 12:51:17 336
T  +28.4179366 -016.5032700 02-APR-07 12:51:58 344
T  +28.4179449 -016.5032783 02-APR-07 12:52:05 346
T  +28.4179433 -016.5032733 02-APR-07 12:52:12 348
T  +28.4179449 -016.5032616 02-APR-07 12:52:18 348
T  +28.4179666 -016.5032916 02-APR-07 12:52:32 343







